city,street,housenumber,apartmentnumber
Petah Tikva,Arlozorov,4,6
Ashkelon,Jabotinsky,20,4
Kfar Saba,HaYarkon,15,8
Netanya,Bialik,17,7
Bnei Brak,HaYarkon,5,4
Haifa,Rabin,7,6
Rishon LeZion,Jabotinsky,2,8
Rehovot,Ben Gurion,7,9
Herzliya,Rabin,10,5
Jerusalem,HaYarkon,6,0
Rehovot,Arlozorov,20,1
Modiin,Begin,19,0
Netanya,Bialik,5,10
Nazareth,Ben Gurion,6,10
Rehovot,Allenby,18,5
Kfar Saba,Jabotinsky,11,0
Modiin,Ben Gurion,9,7
Rehovot,Ben Gurion,10,0
Jerusalem,Rabin,15,1
Beer Sheva,Arlozorov,13,5
Rehovot,Rabin,2,0
Beer Sheva,Ben Gurion,7,8
Ashkelon,Sokolov,14,10
Petah Tikva,Bialik,9,0
Beer Sheva,Rabin,17,5
Ashdod,Allenby,9,9
Netanya,Allenby,15,1
Netanya,Bialik,20,7
Beer Sheva,Bialik,14,0
Bnei Brak,Herzl,10,6
Beer Sheva,Bialik,7,6
Ashkelon,Ben Gurion,3,0
Ashkelon,Arlozorov,4,6
Haifa,Begin,12,9
Netanya,Rothschild,2,0
Rehovot,King George,1,5
Jerusalem,King George,13,2
Kfar Saba,Bialik,12,4
Netanya,Jabotinsky,3,7
Tel Aviv,Ben Gurion,13,4
Rehovot,Begin,14,2
Ashdod,Bialik,9,0
Netanya,Sokolov,16,5
Rehovot,Sokolov,15,1
Jerusalem,Arlozorov,17,3
Petah Tikva,Allenby,9,3
Netanya,Eshkol,16,2
Petah Tikva,Begin,13,7
Netanya,Ben Gurion,16,8
Nazareth,Rabin,2,10
Herzliya,Rabin,18,10
Herzliya,HaYarkon,8,3
Jerusalem,HaYarkon,2,1
Ramat Gan,Ben Gurion,4,10
Petah Tikva,Ben Gurion,10,0
Rehovot,King George,13,3
Haifa,Bialik,19,7
Rehovot,Dizengoff,9,9
Haifa,Jabotinsky,2,3
Jerusalem,Dizengoff,12,7
Kfar Saba,Jabotinsky,20,0
Nazareth,Rothschild,16,3
Bnei Brak,HaYarkon,14,9
Haifa,HaYarkon,8,10
Rishon LeZion,Rothschild,1,0
Herzliya,Sokolov,2,8
Bnei Brak,Eshkol,11,6
Haifa,Bialik,17,10
Modiin,Herzl,4,9
Jerusalem,Ben Gurion,9,1
Tel Aviv,Herzl,16,5
Nazareth,Rothschild,11,8
Rehovot,Begin,10,10
Tel Aviv,Arlozorov,8,0
Kfar Saba,Jabotinsky,13,0
Ashdod,Rabin,3,5
Herzliya,Herzl,16,4
Modiin,Allenby,7,4
Netanya,Rothschild,12,8
Herzliya,Allenby,18,8
Bnei Brak,King George,19,7
Rishon LeZion,Ben Gurion,20,8
Rishon LeZion,Arlozorov,5,7
Ashkelon,Begin,8,6
Tel Aviv,Rothschild,12,3
Rishon LeZion,Herzl,15,9
Bnei Brak,Eshkol,6,0
Rishon LeZion,Dizengoff,17,0
Herzliya,Arlozorov,1,3
Jerusalem,Allenby,18,0
Tel Aviv,Begin,16,1
Petah Tikva,HaYarkon,17,6
Bnei Brak,Rabin,20,4
Netanya,Begin,20,4
Haifa,Rabin,3,0
Kfar Saba,Allenby,11,5
Ashdod,Ben Gurion,11,0
Rehovot,HaYarkon,14,8
Ashkelon,Eshkol,13,9
Bnei Brak,Eshkol,19,8
Haifa,Arlozorov,2,6
Nazareth,Begin,20,8
Tel Aviv,King George,10,9
Kfar Saba,Begin,6,6
Haifa,Bialik,3,2
Haifa,Sokolov,6,8
Bnei Brak,Begin,14,6
Herzliya,HaYarkon,4,9
Ashdod,Rothschild,20,5
Herzliya,Dizengoff,7,9
Ashdod,Jabotinsky,5,0
Rishon LeZion,Ben Gurion,10,0
Ashdod,Eshkol,19,1
Nazareth,Arlozorov,1,1
Tel Aviv,Rabin,5,3
Modiin,Arlozorov,9,8
Modiin,Sokolov,11,6
Kfar Saba,Jabotinsky,20,4
Nazareth,Eshkol,14,9
Haifa,HaYarkon,13,10
Herzliya,Herzl,5,5
Kfar Saba,HaYarkon,5,3
Ashkelon,Begin,20,9
Jerusalem,King George,14,9
Tel Aviv,Dizengoff,17,4
Modiin,Sokolov,14,5
Kfar Saba,HaYarkon,3,1
Jerusalem,Allenby,11,6
Ashdod,Herzl,16,7
Kfar Saba,Rothschild,2,4
Netanya,Sokolov,13,9
Herzliya,Rothschild,6,10
Bnei Brak,Jabotinsky,9,0
Herzliya,Jabotinsky,11,9
Modiin,Sokolov,17,2
Jerusalem,Sokolov,1,6
Ashdod,Jabotinsky,12,7
Rehovot,Ben Gurion,1,0
Jerusalem,Arlozorov,14,6
Tel Aviv,Arlozorov,14,10
Nazareth,Bialik,13,9
Bnei Brak,Allenby,20,2
Tel Aviv,Bialik,18,1
Ramat Gan,Rabin,18,8
Netanya,Jabotinsky,9,6
Netanya,HaYarkon,5,10
Ramat Gan,Rothschild,5,0
Ramat Gan,Sokolov,3,1
Modiin,Ben Gurion,8,0
Netanya,Begin,18,0
Herzliya,Eshkol,3,10
Modiin,King George,15,6
Tel Aviv,Rabin,9,2
Modiin,Dizengoff,1,10
Modiin,Herzl,20,10
Nazareth,Herzl,14,7
Tel Aviv,Dizengoff,15,6
Ashdod,Herzl,13,6
Ashkelon,Rabin,15,4
Ashkelon,Jabotinsky,9,4
Beer Sheva,Herzl,15,7
Beer Sheva,HaYarkon,1,6
Rehovot,Bialik,14,5
Jerusalem,HaYarkon,12,6
Ashkelon,Jabotinsky,17,9
Ramat Gan,Rothschild,17,8
Haifa,Eshkol,15,5
Ashdod,Dizengoff,17,10
Bnei Brak,Dizengoff,20,0
Petah Tikva,Sokolov,15,10
Nazareth,Jabotinsky,16,3
Haifa,Begin,12,10
Netanya,Begin,10,8
Ashdod,Rabin,17,6
Kfar Saba,Bialik,6,8
Rishon LeZion,Bialik,16,9
Ramat Gan,HaYarkon,20,8
Petah Tikva,Ben Gurion,10,3
Herzliya,Bialik,8,5
Ashdod,Allenby,14,7
Beer Sheva,Sokolov,14,2
Modiin,Eshkol,16,8
Haifa,King George,6,6
Ashkelon,Sokolov,18,10
Jerusalem,Dizengoff,7,5
Beer Sheva,King George,13,4
Ashkelon,King George,12,9
Netanya,Sokolov,1,7
Rishon LeZion,Allenby,6,1
Ramat Gan,Dizengoff,10,1
Ramat Gan,Begin,10,4
Ashkelon,HaYarkon,7,9
Kfar Saba,Begin,10,8
Kfar Saba,Eshkol,9,4
Nazareth,Rothschild,10,4
Ashkelon,Sokolov,14,9
Kfar Saba,HaYarkon,8,2
Herzliya,King George,5,7
Bnei Brak,Sokolov,20,4
Petah Tikva,Dizengoff,17,5
Kfar Saba,Begin,10,2
Ashkelon,Herzl,7,2
Herzliya,Allenby,20,9
Beer Sheva,Begin,18,10
Nazareth,Herzl,20,0
Kfar Saba,Eshkol,16,6
Ashdod,Begin,6,1
Kfar Saba,Jabotinsky,12,7
Jerusalem,Bialik,1,8
Ramat Gan,Rabin,3,0
Ashdod,HaYarkon,12,7
Kfar Saba,King George,13,3
Petah Tikva,Sokolov,8,1
Herzliya,Bialik,20,4
Nazareth,Allenby,6,8
Kfar Saba,Jabotinsky,12,10
Rehovot,Ben Gurion,5,5
Jerusalem,Sokolov,19,1
Modiin,Arlozorov,18,2
Ashdod,Rabin,20,5
Beer Sheva,Jabotinsky,8,9
Haifa,HaYarkon,13,2
Tel Aviv,Dizengoff,20,0
Petah Tikva,Dizengoff,20,0
Kfar Saba,Begin,19,4
Beer Sheva,King George,18,10
Herzliya,HaYarkon,13,5
Ashdod,King George,11,3
Kfar Saba,King George,9,3
Rishon LeZion,Arlozorov,20,0
Haifa,Rabin,2,7
Rehovot,Arlozorov,20,4
Ramat Gan,Rabin,7,2
Jerusalem,Sokolov,1,1
Ramat Gan,Allenby,10,10
Nazareth,Bialik,10,3
Jerusalem,Arlozorov,17,7
Ashkelon,Rothschild,3,2
Herzliya,Herzl,20,10
Nazareth,Jabotinsky,15,8
Petah Tikva,Ben Gurion,2,0
Ramat Gan,Bialik,2,0
Kfar Saba,Eshkol,1,10
Tel Aviv,Bialik,9,8
Netanya,Allenby,17,5
Rishon LeZion,Ben Gurion,20,10
Netanya,Rothschild,2,8
Modiin,Ben Gurion,6,3
Netanya,Herzl,14,10
Rishon LeZion,Allenby,11,9
Ashdod,Jabotinsky,16,0
Ashkelon,Rabin,2,6
Herzliya,Rabin,12,6
Rishon LeZion,Eshkol,17,2
Bnei Brak,Rabin,13,6
Bnei Brak,Jabotinsky,20,9
Ashdod,Ben Gurion,6,10
Petah Tikva,Rabin,15,9
Rehovot,Eshkol,9,0
Ramat Gan,HaYarkon,1,5
Ramat Gan,Arlozorov,14,4
Netanya,Sokolov,13,5
Nazareth,King George,2,5
Modiin,Bialik,20,9
Netanya,Ben Gurion,15,3
Tel Aviv,Bialik,2,3
Netanya,Dizengoff,20,2
Ramat Gan,HaYarkon,6,8
Ashdod,Jabotinsky,2,2
Kfar Saba,Dizengoff,2,5
Jerusalem,King George,3,2
Jerusalem,Allenby,19,5
Tel Aviv,HaYarkon,16,7
Modiin,Begin,14,9
Herzliya,Ben Gurion,2,9
Kfar Saba,Dizengoff,17,8
Kfar Saba,Rabin,15,7
Ramat Gan,Arlozorov,4,4
Beer Sheva,Arlozorov,18,9
Netanya,King George,4,7
Rehovot,Sokolov,6,4
Haifa,Begin,18,6
Rehovot,Begin,10,2
Rishon LeZion,Arlozorov,19,7
Haifa,Eshkol,19,2
Netanya,Rothschild,7,3
Rehovot,HaYarkon,18,0
Rehovot,Sokolov,18,4
Rishon LeZion,Sokolov,3,9
Rishon LeZion,Ben Gurion,5,6
Netanya,Herzl,19,5
Jerusalem,HaYarkon,1,3
Ashkelon,HaYarkon,3,8
Rishon LeZion,HaYarkon,19,6
Tel Aviv,Ben Gurion,10,0
Modiin,Sokolov,2,9
Petah Tikva,Ben Gurion,3,8
Ashdod,Jabotinsky,1,6
Kfar Saba,Arlozorov,20,0
Kfar Saba,Allenby,2,4
Modiin,Sokolov,3,4
Petah Tikva,Dizengoff,17,2
Modiin,Arlozorov,3,7
Ashdod,Begin,7,0
Haifa,Eshkol,5,4
Herzliya,Arlozorov,17,4
Herzliya,Ben Gurion,4,0
Kfar Saba,Rabin,11,2
Ashkelon,Sokolov,12,3
Rehovot,Rabin,14,9
Rehovot,King George,13,4
Jerusalem,Rothschild,12,7
Herzliya,Ben Gurion,8,2
Modiin,King George,8,5
Ramat Gan,Dizengoff,1,1
Ramat Gan,Allenby,10,0
Petah Tikva,Sokolov,3,10
Netanya,Eshkol,10,8
Herzliya,Begin,19,1
Ramat Gan,Rabin,15,10
Bnei Brak,Allenby,17,1
Tel Aviv,Sokolov,12,9
Nazareth,Allenby,17,10
Beer Sheva,Begin,4,5
Ashkelon,Allenby,18,0
Nazareth,HaYarkon,7,6
Bnei Brak,Eshkol,7,6
Modiin,Begin,16,0
Rehovot,Eshkol,20,4
Jerusalem,Sokolov,12,9
Rehovot,King George,17,1
Jerusalem,Begin,5,4
Netanya,Sokolov,16,0
Herzliya,Rabin,19,10
Nazareth,Rabin,4,4
Ashdod,Rabin,2,10
Bnei Brak,HaYarkon,18,9
Jerusalem,Herzl,17,0
Bnei Brak,Rothschild,6,7
Ramat Gan,Jabotinsky,4,6
Modiin,Jabotinsky,14,6
Tel Aviv,Allenby,8,3
Haifa,HaYarkon,18,6
Jerusalem,Allenby,7,9
Ramat Gan,Eshkol,14,3
Herzliya,HaYarkon,3,2
Rehovot,Dizengoff,4,5
Ramat Gan,Begin,10,10
Petah Tikva,Arlozorov,1,9
Haifa,Sokolov,19,0
Modiin,Arlozorov,14,9
Ashdod,Arlozorov,7,6
Ramat Gan,Arlozorov,10,0
Kfar Saba,Arlozorov,4,7
Haifa,Bialik,20,0
Petah Tikva,Ben Gurion,7,6
Netanya,Rabin,6,7
Ramat Gan,Begin,15,3
Netanya,Begin,5,5
Netanya,Sokolov,19,10
Nazareth,Rothschild,20,9
Netanya,Eshkol,7,7
Petah Tikva,Arlozorov,5,5
Kfar Saba,King George,5,0
Herzliya,Arlozorov,17,5
Ashdod,Allenby,1,9
Bnei Brak,Bialik,2,4
Petah Tikva,Jabotinsky,4,7
Bnei Brak,HaYarkon,15,0
Beer Sheva,Bialik,12,9
Ashkelon,Arlozorov,9,0
Ashkelon,Ben Gurion,18,5
Nazareth,Arlozorov,7,3
Rehovot,Rothschild,10,0
Nazareth,Eshkol,10,6
Bnei Brak,Dizengoff,4,1
Kfar Saba,Arlozorov,7,3
Modiin,Rothschild,7,3
Modiin,King George,17,4
Nazareth,Rothschild,14,2
Herzliya,Eshkol,16,7
Jerusalem,HaYarkon,18,0
Ramat Gan,Rabin,18,0
Bnei Brak,King George,1,6
Rishon LeZion,Begin,11,7
Kfar Saba,Sokolov,9,8
Bnei Brak,Bialik,18,5
Ramat Gan,Allenby,8,0
Bnei Brak,Begin,5,0
Ashdod,King George,2,4
Ashdod,Herzl,7,0
Jerusalem,Ben Gurion,16,1
Tel Aviv,Arlozorov,7,6
Beer Sheva,Dizengoff,14,2
Herzliya,Eshkol,2,9
Petah Tikva,Herzl,3,5
Rishon LeZion,Eshkol,1,5
Bnei Brak,Dizengoff,6,0
Rehovot,Herzl,2,2
Kfar Saba,Jabotinsky,14,1
Haifa,Begin,19,5
Tel Aviv,Rabin,7,0
Rishon LeZion,King George,13,1
Ramat Gan,Ben Gurion,11,9
Netanya,Begin,4,0
Ramat Gan,Bialik,11,3
Haifa,Dizengoff,6,10
Bnei Brak,Sokolov,20,7
Haifa,Rabin,2,1
Nazareth,Allenby,11,8
Haifa,Sokolov,4,7
Ashkelon,Herzl,19,0
Ashkelon,Eshkol,9,7
Nazareth,HaYarkon,5,6
Bnei Brak,Arlozorov,20,4
Jerusalem,Herzl,9,5
Rehovot,Eshkol,10,0
Netanya,Dizengoff,20,4
Ashdod,King George,6,7
Rehovot,Rothschild,1,5
Ashdod,Bialik,14,4
Nazareth,HaYarkon,2,10
Ashdod,Bialik,9,6
Rehovot,Eshkol,9,5
Beer Sheva,King George,6,5
Ashdod,Sokolov,9,5
Kfar Saba,Bialik,11,2
Haifa,Dizengoff,10,0
Beer Sheva,Eshkol,2,3
Modiin,Arlozorov,10,3
Tel Aviv,Rabin,4,4
Kfar Saba,Allenby,10,8
Netanya,Jabotinsky,15,3
Jerusalem,Jabotinsky,6,0
Ramat Gan,HaYarkon,20,3
Ashdod,Herzl,15,2
Netanya,Eshkol,14,7
Modiin,Dizengoff,13,10
Jerusalem,Eshkol,11,0
Ashdod,Bialik,9,1
Beer Sheva,Begin,11,0
Bnei Brak,HaYarkon,13,8
Jerusalem,Arlozorov,18,1
Haifa,HaYarkon,6,5
Ashdod,Begin,1,0
Haifa,Begin,12,1
Herzliya,Sokolov,2,7
Modiin,HaYarkon,13,10
Ashkelon,Bialik,6,1
Petah Tikva,Arlozorov,1,3
Modiin,Dizengoff,12,2
Nazareth,Herzl,9,5
Tel Aviv,Begin,14,2
Rehovot,Rothschild,14,5
Modiin,Jabotinsky,8,0
Nazareth,Ben Gurion,19,10
Netanya,Arlozorov,14,7
Netanya,Bialik,16,4
Beer Sheva,Dizengoff,3,2
Rishon LeZion,Ben Gurion,8,2
Beer Sheva,Rabin,1,5
Ashkelon,Begin,19,10
Kfar Saba,Bialik,1,0
Modiin,Begin,16,9
Bnei Brak,Ben Gurion,13,7
Jerusalem,HaYarkon,3,4
Bnei Brak,Arlozorov,19,10
Ashdod,Rothschild,16,3
Rehovot,Eshkol,20,2
Tel Aviv,Jabotinsky,8,1
Modiin,Arlozorov,11,10
Modiin,Allenby,12,10
Bnei Brak,Eshkol,18,10
Ashdod,Herzl,2,9
Herzliya,Ben Gurion,16,7
Herzliya,Rothschild,8,4
Herzliya,Bialik,19,10
Rehovot,King George,6,4
Petah Tikva,Ben Gurion,11,2
Bnei Brak,Jabotinsky,16,1
Nazareth,Rothschild,15,10
Rehovot,Eshkol,5,5
Rishon LeZion,Arlozorov,15,3
Rehovot,Eshkol,19,4
Rehovot,Begin,18,4
Ramat Gan,Rabin,18,5
Haifa,King George,17,3
Nazareth,Allenby,7,0
Beer Sheva,Bialik,20,1
Tel Aviv,Sokolov,6,3
Ashkelon,Rabin,1,1
Netanya,Dizengoff,14,0
Petah Tikva,Jabotinsky,8,6
Herzliya,Sokolov,3,0
Beer Sheva,Ben Gurion,19,2
Ashkelon,Rabin,14,5
Rishon LeZion,Rabin,12,6
Ashdod,Sokolov,1,5
Haifa,Sokolov,1,7
Haifa,Bialik,18,3
Rishon LeZion,Ben Gurion,5,4
Haifa,HaYarkon,7,9
Tel Aviv,King George,5,5
Rehovot,Rothschild,5,8
Haifa,Rothschild,7,9
Kfar Saba,Jabotinsky,9,0
Modiin,Eshkol,4,0
Herzliya,HaYarkon,2,2
Petah Tikva,Jabotinsky,12,2
Rishon LeZion,Allenby,14,1
Herzliya,Sokolov,5,7
Ashdod,Arlozorov,20,3
Rehovot,Begin,6,0
Modiin,Ben Gurion,14,9
Rishon LeZion,Sokolov,12,10
Ashkelon,Rabin,1,2
Herzliya,Begin,17,9
Netanya,Sokolov,9,5
Petah Tikva,Eshkol,7,7
Tel Aviv,King George,12,2
Ramat Gan,Allenby,9,7
Modiin,Bialik,12,5
Jerusalem,HaYarkon,13,9
Ramat Gan,Rothschild,8,7
Ashdod,Arlozorov,15,9
Haifa,King George,20,4
Herzliya,Rabin,8,8
Modiin,Eshkol,7,3
Bnei Brak,Allenby,18,9
Netanya,Eshkol,18,1
Herzliya,Herzl,2,4
Modiin,Ben Gurion,1,5
Rehovot,King George,2,0
Rehovot,HaYarkon,16,3
Tel Aviv,Rothschild,16,2
Tel Aviv,HaYarkon,15,0
Modiin,Rabin,19,9
Netanya,Dizengoff,11,1
Modiin,Rothschild,11,10
Rehovot,Rabin,14,5
Herzliya,Sokolov,11,0
